Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,206.3800048828125,206.8800048828125,204.17999267578125,205.42999267578125,182.74656677246094,121465900
2015-01-05,204.1699981689453,204.3699951171875,201.35000610351562,201.72000122070312,179.44625854492188,169632600
2015-01-06,202.08999633789062,202.72000122070312,198.86000061035156,199.82000732421875,177.75607299804688,209151400
2015-01-07,201.4199981689453,202.72000122070312,200.8800048828125,202.30999755859375,179.9711151123047,125346700
2015-01-08,204.00999450683594,206.16000366210938,203.99000549316406,205.89999389648438,183.16470336914062,147217800
2015-01-09,206.39999389648438,206.4199981689453,203.50999450683594,204.25,181.6968994140625,158567300
2015-01-12,204.41000366210938,204.60000610351562,201.9199981689453,202.64999389648438,180.2735595703125,144396100
2015-01-13,204.1199951171875,205.47999572753906,200.50999450683594,202.0800018310547,179.76649475097656,214553300
2015-01-14,199.64999389648438,201.10000610351562,198.57000732421875,200.86000061035156,178.68121337890625,192991100
2015-01-15,201.6300048828125,202.00999450683594,198.8800048828125,199.02000427246094,177.04441833496094,176613900
2015-01-16,198.77000427246094,201.82000732421875,198.5500030517578,201.6300048828125,179.36618041992188,211879600
2015-01-20,202.39999389648438,202.72000122070312,200.1699981689453,202.05999755859375,179.7487335205078,130991100
2015-01-21,201.5,203.66000366210938,200.94000244140625,203.0800018310547,180.65609741210938,122942700
2015-01-22,203.99000549316406,206.25999450683594,202.3300018310547,206.10000610351562,183.34262084960938,174356000
2015-01-23,205.7899932861328,206.10000610351562,204.80999755859375,204.97000122070312,182.33737182617188,117516800
2015-01-26,204.7100067138672,205.55999755859375,203.85000610351562,205.4499969482422,182.76434326171875,92009700
2015-01-27,202.97000122070312,204.1199951171875,201.74000549316406,202.74000549316406,180.35360717773438,134044600
2015-01-28,204.1699981689453,204.2899932861328,199.91000366210938,200.13999938964844,178.04066467285156,168514300
2015-01-29,200.3800048828125,202.3000030517578,198.67999267578125,201.99000549316406,179.68641662597656,173585400
2015-01-30,200.57000732421875,202.1699981689453,199.1300048828125,199.4499969482422,177.42689514160156,197729700
2015-02-02,200.0500030517578,202.02999877929688,197.86000061035156,201.9199981689453,179.6241455078125,163107000
2015-02-03,203.0,204.85000610351562,202.5500030517578,204.83999633789062,182.2217559814453,124212900
2015-02-04,203.9199981689453,205.3800048828125,203.50999450683594,204.05999755859375,181.52786254882812,134306700
2015-02-05,204.86000061035156,206.3000030517578,204.77000427246094,206.1199951171875,183.3603973388672,97953200
2015-02-06,206.55999755859375,207.24000549316406,204.9199981689453,205.5500030517578,182.85333251953125,125672000
2015-02-09,204.77000427246094,205.63999938964844,204.13999938964844,204.6300048828125,182.034912109375,87219000
2015-02-10,205.8800048828125,207.1199951171875,204.67999267578125,206.80999755859375,183.9741668701172,96164200
2015-02-11,206.61000061035156,207.4499969482422,205.8300018310547,206.92999267578125,184.08096313476562,91087800
2015-02-12,207.88999938964844,208.99000549316406,206.97000122070312,208.9199981689453,185.85122680664062,97545900
2015-02-13,209.07000732421875,209.83999633789062,208.75999450683594,209.77999877929688,186.6162567138672,93670400
2015-02-17,209.39999389648438,210.32000732421875,209.10000610351562,210.11000061035156,186.90985107421875,76968200
2015-02-18,209.66000366210938,210.22000122070312,209.33999633789062,210.1300048828125,186.92759704589844,80652900
2015-02-19,209.41000366210938,210.4199981689453,209.24000549316406,209.97999572753906,186.794189453125,91462500
2015-02-20,209.47999572753906,211.3300018310547,208.72999572753906,211.24000549316406,187.91505432128906,140896400
2015-02-23,210.94000244140625,211.2100067138672,210.47999572753906,211.2100067138672,187.8883819580078,74411100
2015-02-24,211.1199951171875,212.0500030517578,210.75999450683594,211.80999755859375,188.42214965820312,72472300
2015-02-25,211.66000366210938,212.24000549316406,211.22000122070312,211.6300048828125,188.2620391845703,73061700
2015-02-26,211.52000427246094,211.7100067138672,210.64999389648438,211.3800048828125,188.0395965576172,72697900
2015-02-27,211.25999450683594,211.5800018310547,210.60000610351562,210.66000366210938,187.3991241455078,108076000
2015-03-02,210.77999877929688,212.05999755859375,210.72000122070312,211.99000549316406,188.58224487304688,87491400
2015-03-03,211.47000122070312,212.0500030517578,210.0800018310547,211.1199951171875,187.80831909179688,110325800
2015-03-04,210.39999389648438,210.49000549316406,209.05999755859375,210.22999572753906,187.01657104492188,114497200
2015-03-05,210.6199951171875,210.8000030517578,209.85000610351562,210.4600067138672,187.22117614746094,76873000
2015-03-06,209.4199981689453,209.94000244140625,207.10000610351562,207.5,184.58802795410156,188128000
2015-03-09,207.74000549316406,208.7899932861328,207.5500030517578,208.36000061035156,185.35305786132812,89818900
2015-03-10,206.7100067138672,206.80999755859375,204.92999267578125,204.97999572753906,182.34625244140625,157121300
2015-03-11,205.2899932861328,205.5,204.39999389648438,204.5,181.91925048828125,110145700
2015-03-12,205.25999450683594,207.17999267578125,205.1999969482422,207.10000610351562,184.23216247558594,93993500
2015-03-13,206.77000427246094,207.92999267578125,204.5800018310547,205.8300018310547,183.10243225097656,162410900
2015-03-16,206.7100067138672,208.69000244140625,205.86000061035156,208.5800018310547,185.54876708984375,136099200
2015-03-17,207.69000244140625,208.4199981689453,206.97999572753906,207.9600067138672,184.99722290039062,94510400
2015-03-18,207.38999938964844,211.27000427246094,206.6199951171875,210.4600067138672,187.22117614746094,228808500
